Date,Time,Voltage,Current,Power Factor,Power,Energy,Frequency,Light bulb
11 08 2024,13:31:42,255.5,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:31:45,256.3,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:31:49,257,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:31:53,256.4,0.08,0.55,10.5,0,50.2,1
11 08 2024,13:31:57,254.3,0.08,0.56,10.6,0,50.2,1
11 08 2024,13:32:00,253,0.08,0.56,10.6,0,50.2,1
11 08 2024,13:32:04,255.2,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:32:08,257.6,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:32:12,257.4,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:32:16,0,0,0,0,0,0,0
11 08 2024,13:32:20,0,0,0,0,0,0,0
11 08 2024,13:32:25,0,0,0,0,0,0,0
11 08 2024,13:32:29,0,0,0,0,0,0,0
11 08 2024,13:32:34,258.1,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:32:38,257.2,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:32:42,254.7,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:32:45,253.3,0.08,0.56,10.6,0,50.1,1
11 08 2024,13:32:49,253.9,0.08,0.56,10.6,0,50.1,1
11 08 2024,13:32:54,255.2,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:32:57,256.3,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:33:01,256.5,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:33:05,254.6,0.08,0.56,10.6,0,50.2,1
11 08 2024,13:33:09,256,0.08,0.54,10.6,0,50.2,1
11 08 2024,13:33:13,255.4,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:33:17,255,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:33:21,254.9,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:33:25,255.8,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:33:29,256.1,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:33:33,254.9,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:33:37,0,0,0,0,0,0,0
11 08 2024,13:33:42,0,0,0,0,0,0,0
11 08 2024,13:33:47,0,0,0,0,0,0,0
11 08 2024,13:33:51,0,0,0,0,0,0,0
11 08 2024,13:33:55,255.7,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:33:59,256.2,0.08,0.54,10.6,0,50.2,1
11 08 2024,13:34:03,254.9,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:34:08,254.6,0.08,0.56,10.6,0,50.2,1
11 08 2024,13:34:12,254.8,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:34:16,257,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:34:20,256,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:34:25,256.2,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:34:29,255,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:34:33,255.5,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:34:36,255.8,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:34:41,255.1,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:34:45,255,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:34:49,253.9,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:34:52,253.9,0.08,0.55,10.5,0,50.2,1
11 08 2024,13:34:56,0,0,0,0,0,0,0
11 08 2024,13:35:01,0,0,0,0,0,0,0
11 08 2024,13:35:05,0,0,0,0,0,0,0
11 08 2024,13:35:09,0,0,0,0,0,0,0
11 08 2024,13:35:13,255,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:35:17,256.9,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:35:21,255.8,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:35:25,254.7,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:35:29,253.4,0.08,0.55,10.5,0,50.2,1
11 08 2024,13:35:33,254.4,0.08,0.56,10.6,0,50.2,1
11 08 2024,13:35:36,255.5,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:35:40,255.5,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:35:44,253.8,0.08,0.56,10.6,0,50.2,1
11 08 2024,13:35:48,251.3,0.08,0.55,10.5,0,50.2,1
11 08 2024,13:35:52,251.3,0.08,0.55,10.5,0,50.2,1
11 08 2024,13:35:56,254.3,0.08,0.55,10.5,0,50.2,1
11 08 2024,13:36:00,256.8,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:36:04,256.6,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:36:08,256,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:36:12,254.6,0.08,0.55,10.5,0,50.2,1
11 08 2024,13:36:16,0,0,0,0,0,0,0
11 08 2024,13:36:20,0,0,0,0,0,0,0
11 08 2024,13:36:25,0,0,0,0,0,0,0
11 08 2024,13:36:30,0,0,0,0,0,0,0
11 08 2024,13:36:34,255.5,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:36:38,255.8,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:36:42,255.2,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:36:46,254.5,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:36:50,255.4,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:36:54,255.7,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:36:58,255.5,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:37:02,256.7,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:37:06,255.5,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:37:10,254.2,0.08,0.54,10.5,0,50.2,1
11 08 2024,13:37:14,254.9,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:37:18,255,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:37:22,256.8,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:37:27,255.6,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:37:30,253.3,0.08,0.55,10.5,0,50.1,1
11 08 2024,13:37:35,0,0,0,0,0,0,0
11 08 2024,13:37:39,0,0,0,0,0,0,0
11 08 2024,13:37:43,0,0,0,0,0,0,0
11 08 2024,13:37:48,0,0,0,0,0,0,0
11 08 2024,13:37:52,254.5,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:37:56,255.7,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:38:00,255,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:38:05,253.3,0.08,0.55,10.5,0,50.1,1
11 08 2024,13:38:10,252.2,0.08,0.56,10.5,0,50.1,1
11 08 2024,13:38:14,255.6,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:38:18,257,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:38:22,256.9,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:38:26,254.5,0.08,0.56,10.6,0,50.1,1
11 08 2024,13:38:30,252,0.08,0.56,10.5,0,50.1,1
11 08 2024,13:38:34,253.4,0.08,0.55,10.5,0,50.1,1
11 08 2024,13:38:38,254.4,0.08,0.56,10.6,0,50.1,1
11 08 2024,13:38:43,255.5,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:38:47,255.8,0.08,0.55,10.5,0,50.1,1
11 08 2024,13:38:51,255.8,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:38:55,0,0,0,0,0,0,0
11 08 2024,13:39:00,0,0,0,0,0,0,0
11 08 2024,13:39:05,0,0,0,0,0,0,0
11 08 2024,13:39:09,0,0,0,0,0,0,0
11 08 2024,13:39:13,255.5,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:39:17,255.6,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:39:21,256.7,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:39:25,254.8,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:39:29,253.7,0.08,0.55,10.5,0,50.2,1
11 08 2024,13:39:32,253.7,0.08,0.56,10.6,0,50.1,1
11 08 2024,13:39:36,254.7,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:39:40,256.5,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:39:43,256.3,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:39:47,256.9,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:39:51,255.1,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:39:55,254.4,0.08,0.55,10.5,0,50.1,1
11 08 2024,13:40:01,254.4,0.08,0.56,10.6,0,50.1,1
11 08 2024,13:40:05,257.1,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:40:09,257.2,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:40:13,257.2,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:40:18,0,0,0,0,0,0,0
11 08 2024,13:40:22,0,0,0,0,0,0,0
11 08 2024,13:40:27,0,0,0,0,0,0,0
11 08 2024,13:40:31,0,0,0,0,0,0,0
11 08 2024,13:40:35,255.3,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:40:39,253.7,0.08,0.56,10.6,0,50.1,1
11 08 2024,13:40:44,254.6,0.08,0.56,10.6,0,50.1,1
11 08 2024,13:40:48,255.8,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:40:52,255.1,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:40:56,251.4,0.08,0.55,10.5,0,50.2,1
11 08 2024,13:41:00,251,0.08,0.55,10.5,0,50.1,1
11 08 2024,13:41:03,250.6,0.08,0.55,10.5,0,50.2,1
11 08 2024,13:41:07,251.4,0.08,0.56,10.5,0,50.2,1
11 08 2024,13:41:11,252,0.08,0.55,10.5,0,50.2,1
11 08 2024,13:41:15,253.1,0.08,0.55,10.5,0,50.2,1
11 08 2024,13:41:19,251.3,0.08,0.55,10.5,0,50.2,1
11 08 2024,13:41:23,250.5,0.08,0.55,10.5,0,50.2,1
11 08 2024,13:41:27,249.2,0.08,0.55,10.5,0,50.2,1
11 08 2024,13:41:30,249.5,0.08,0.55,10.5,0,50.2,1
11 08 2024,13:41:34,250.3,0.08,0.55,10.5,0,50.2,1
11 08 2024,13:41:38,0,0,0,0,0,0,0
11 08 2024,13:41:43,0,0,0,0,0,0,0
11 08 2024,13:41:47,0,0,0,0,0,0,0
11 08 2024,13:41:52,0,0,0,0,0,0,0
11 08 2024,13:41:57,250.5,0.08,0.55,10.5,0,50.1,1
11 08 2024,13:42:00,251.3,0.08,0.56,10.5,0,50.1,1
11 08 2024,13:42:04,252.6,0.08,0.56,10.6,0,50.1,1
11 08 2024,13:42:08,252.7,0.08,0.56,10.6,0,50.2,1
11 08 2024,13:42:12,252.7,0.08,0.56,10.6,0,50.1,1
11 08 2024,13:42:16,250.3,0.08,0.56,10.5,0,50.1,1
11 08 2024,13:42:20,249.6,0.08,0.55,10.5,0,50.1,1
11 08 2024,13:42:24,249.6,0.08,0.56,10.5,0,50.1,1
11 08 2024,13:42:28,250.2,0.08,0.56,10.5,0,50.2,1
11 08 2024,13:42:32,251.9,0.08,0.56,10.6,0,50.2,1
11 08 2024,13:42:36,252,0.08,0.56,10.5,0,50.1,1
11 08 2024,13:42:41,253,0.08,0.55,10.5,0,50.1,1
11 08 2024,13:42:46,250.6,0.08,0.56,10.5,0,50.1,1
11 08 2024,13:42:49,250.3,0.08,0.56,10.5,0,50.1,1
11 08 2024,13:42:53,250.5,0.07,0.57,10.5,0,50.1,1
11 08 2024,13:42:57,0,0,0,0,0,0,0
11 08 2024,13:43:02,0,0,0,0,0,0,0
11 08 2024,13:43:06,0,0,0,0,0,0,0
11 08 2024,13:43:10,0,0,0,0,0,0,0
11 08 2024,13:43:14,252,0.08,0.56,10.6,0,50.1,1
11 08 2024,13:43:18,255.1,0.07,0.56,10.6,0,50.1,1
11 08 2024,13:43:22,254.8,0.07,0.56,10.6,0,50.1,1
11 08 2024,13:43:25,254.8,0.07,0.56,10.6,0,50.1,1
11 08 2024,13:43:29,250.9,0.08,0.56,10.5,0,50.1,1
11 08 2024,13:43:33,250.3,0.08,0.56,10.6,0,50.1,1
11 08 2024,13:43:36,250.6,0.08,0.56,10.5,0,50.1,1
11 08 2024,13:43:40,251.3,0.07,0.56,10.5,0,50.1,1
11 08 2024,13:43:43,254.5,0.07,0.56,10.6,0,50.1,1
11 08 2024,13:43:47,255.6,0.07,0.56,10.6,0,50.2,1
11 08 2024,13:43:51,255.4,0.07,0.56,10.6,0,50.1,1
11 08 2024,13:43:55,249.9,0.08,0.56,10.5,0,50.1,1
11 08 2024,13:43:59,251,0.08,0.56,10.5,0,50.2,1
11 08 2024,13:44:03,252.4,0.08,0.55,10.5,0,50.1,1
11 08 2024,13:44:07,256.5,0.07,0.56,10.6,0,50.1,1
11 08 2024,13:44:10,256.5,0.07,0.57,10.6,0,50.1,1
11 08 2024,13:44:15,0,0,0,0,0,0,0
11 08 2024,13:44:20,0,0,0,0,0,0,0
11 08 2024,13:44:25,0,0,0,0,0,0,0
11 08 2024,13:44:29,0,0,0,0,0,0,0
11 08 2024,13:44:33,256.4,0.07,0.56,10.6,0,50.1,1
11 08 2024,13:44:37,251.6,0.07,0.56,10.5,0,50.1,1
11 08 2024,13:44:41,251.3,0.07,0.57,10.6,0,50.1,1
11 08 2024,13:44:44,249.6,0.07,0.57,10.5,0,50.1,1
11 08 2024,13:44:49,254.9,0.07,0.56,10.6,0,50.1,1
11 08 2024,13:44:53,255.3,0.07,0.56,10.6,0,50.1,1
11 08 2024,13:44:56,252.8,0.07,0.56,10.5,0,50.1,1
11 08 2024,13:45:00,251.4,0.07,0.56,10.5,0,50.1,1
11 08 2024,13:45:04,251.3,0.07,0.56,10.5,0,50.1,1
11 08 2024,13:45:08,254.4,0.07,0.57,10.6,0,50.1,1
11 08 2024,13:45:11,256.6,0.07,0.57,10.6,0,50.1,1
11 08 2024,13:45:15,254.1,0.07,0.57,10.6,0,50.1,1
11 08 2024,13:45:18,249.8,0.07,0.57,10.5,0,50.2,1
11 08 2024,13:45:22,249.2,0.07,0.57,10.5,0,50.2,1
11 08 2024,13:45:26,250.2,0.07,0.57,10.5,0,50.1,1
11 08 2024,13:45:30,254.4,0.07,0.57,10.5,0,50.1,1
11 08 2024,13:45:34,0,0,0,0,0,0,0
11 08 2024,13:45:39,0,0,0,0,0,0,0
11 08 2024,13:45:43,0,0,0,0,0,0,0
11 08 2024,13:45:48,0,0,0,0,0,0,0
11 08 2024,13:45:51,254.2,0.07,0.57,10.6,0,50.1,1
11 08 2024,13:45:55,255.2,0.07,0.57,10.6,0,50.1,1
11 08 2024,13:45:59,252.3,0.07,0.57,10.6,0,50.1,1
11 08 2024,13:46:03,252.2,0.07,0.57,10.6,0,50.2,1
11 08 2024,13:46:07,251.9,0.07,0.57,10.6,0,50.1,1
11 08 2024,13:46:10,255.3,0.07,0.57,10.6,0,50.2,1
11 08 2024,13:46:14,254.2,0.07,0.57,10.5,0,50.2,1
11 08 2024,13:46:19,251.2,0.07,0.56,10.5,0,50.1,1
11 08 2024,13:46:22,250.8,0.07,0.57,10.5,0,50.2,1
11 08 2024,13:46:26,251.4,0.07,0.56,10.5,0,50.2,1
11 08 2024,13:46:31,255.4,0.07,0.57,10.6,0,50.2,1
11 08 2024,13:46:35,255.5,0.07,0.56,10.5,0,50.1,1
11 08 2024,13:46:39,252.1,0.07,0.56,10.5,0,50.1,1
11 08 2024,13:46:43,252.7,0.07,0.57,10.5,0,50.1,1
11 08 2024,13:46:47,253.1,0.07,0.57,10.5,0,50.2,1
11 08 2024,13:46:50,255.5,0.07,0.56,10.5,0,50.2,1
11 08 2024,13:46:55,0,0,0,0,0,0,0
11 08 2024,13:46:59,0,0,0,0,0,0,0
11 08 2024,13:47:03,0,0,0,0,0,0,0
11 08 2024,13:47:08,0,0,0,0,0,0,0
11 08 2024,13:47:12,257.5,0.07,0.56,10.6,0,50.2,1
11 08 2024,13:47:16,252.1,0.07,0.56,10.5,0,50.2,1
11 08 2024,13:47:19,251.4,0.07,0.57,10.6,0,50.1,1
11 08 2024,13:47:23,251.8,0.07,0.56,10.5,0,50.1,1
11 08 2024,13:47:27,257.2,0.07,0.56,10.6,0,50.1,1
11 08 2024,13:47:31,257.9,0.07,0.56,10.6,0,50.2,1
11 08 2024,13:47:34,254,0.07,0.56,10.6,0,50.2,1
11 08 2024,13:47:41,251.7,0.07,0.56,10.5,0,50.2,1
11 08 2024,13:47:45,254.7,0.07,0.56,10.6,0,50.1,1
11 08 2024,13:47:48,256.1,0.07,0.56,10.6,0,50.1,1
11 08 2024,13:47:52,256.2,0.07,0.56,10.6,0,50.1,1
11 08 2024,13:47:56,251.8,0.07,0.56,10.5,0,50.2,1
11 08 2024,13:48:00,252.6,0.07,0.57,10.6,0,50.2,1
11 08 2024,13:48:04,257.1,0.07,0.56,10.6,0,50.1,1
11 08 2024,13:48:07,257.3,0.07,0.56,10.6,0,50.1,1
11 08 2024,13:48:11,257.5,0.07,0.56,10.6,0,50.2,1
11 08 2024,13:48:16,0,0,0,0,0,0,0
11 08 2024,13:48:21,0,0,0,0,0,0,0
11 08 2024,13:48:25,0,0,0,0,0,0,0
11 08 2024,13:48:30,0,0,0,0,0,0,0
11 08 2024,13:48:35,252.7,0.07,0.57,10.6,0,50.2,1
11 08 2024,13:48:38,252.7,0.07,0.57,10.6,0,50.2,1
11 08 2024,13:48:43,255.8,0.07,0.56,10.6,0,50.2,1
11 08 2024,13:48:47,255.8,0.07,0.56,10.6,0,50.2,1
11 08 2024,13:48:51,253,0.07,0.56,10.5,0,50.2,1
11 08 2024,13:48:55,251.3,0.07,0.57,10.6,0,50.1,1
11 08 2024,13:48:59,252.5,0.07,0.56,10.5,0,50.2,1
11 08 2024,13:49:02,256.8,0.07,0.57,10.6,0,50.1,1
11 08 2024,13:49:06,256.4,0.07,0.57,10.6,0,50.1,1
11 08 2024,13:49:10,253.1,0.07,0.57,10.5,0,50.1,1
11 08 2024,13:49:15,251,0.07,0.57,10.5,0,50.2,1
11 08 2024,13:49:19,251.4,0.07,0.56,10.5,0,50.1,1
11 08 2024,13:49:23,255.7,0.07,0.57,10.6,0,50.1,1
11 08 2024,13:49:27,256.9,0.07,0.57,10.6,0,50.2,1
11 08 2024,13:49:32,252.7,0.07,0.57,10.6,0,50.1,1
11 08 2024,13:49:37,0,0,0,0,0,0,0
11 08 2024,13:49:42,0,0,0,0,0,0,0
11 08 2024,13:49:46,0,0,0,0,0,0,0
11 08 2024,13:49:50,255.1,0.07,0.57,10.6,0,50.1,1
11 08 2024,13:49:54,251.6,0.07,0.57,10.6,0,50.1,1
11 08 2024,13:49:58,253,0.07,0.57,10.6,0,50.1,1
11 08 2024,13:50:01,257.2,0.07,0.56,10.6,0,50.2,1
11 08 2024,13:50:06,257.1,0.07,0.56,10.6,0,50.1,1
11 08 2024,13:50:09,254.1,0.07,0.57,10.5,0,50.1,1
11 08 2024,13:50:13,252.5,0.07,0.56,10.5,0,50.1,1
11 08 2024,13:50:17,251.2,0.07,0.56,10.5,0,50.1,1
11 08 2024,13:50:21,256.2,0.07,0.57,10.6,0,50.1,1
11 08 2024,13:50:25,256.6,0.07,0.57,10.6,0,50.1,1
11 08 2024,13:50:29,256.2,0.07,0.57,10.6,0,50.1,1
11 08 2024,13:50:32,253.4,0.07,0.57,10.6,0,50.1,1
11 08 2024,13:50:36,253.2,0.07,0.56,10.5,0,50.1,1
11 08 2024,13:50:40,257,0.07,0.57,10.6,0,50.1,1
11 08 2024,13:50:44,256.9,0.07,0.57,10.6,0,50.1,1
11 08 2024,13:50:48,255.6,0.07,0.56,10.6,0,50.1,1
11 08 2024,13:50:52,0,0,0,0,0,0,0
11 08 2024,13:50:56,0,0,0,0,0,0,0
11 08 2024,13:51:01,0,0,0,0,0,0,0
11 08 2024,13:51:05,0,0,0,0,0,0,0
11 08 2024,13:51:09,253.7,0.07,0.56,10.6,0,50.1,1
11 08 2024,13:51:13,253.7,0.07,0.56,10.6,0,50.1,1
11 08 2024,13:51:18,252.9,0.07,0.56,10.5,0,50.2,1
11 08 2024,13:51:21,256.1,0.07,0.57,10.6,0,50.2,1
11 08 2024,13:51:25,255.2,0.07,0.57,10.6,0,50.1,1
11 08 2024,13:51:29,252.3,0.07,0.56,10.5,0,50.1,1
11 08 2024,13:51:33,252.2,0.07,0.56,10.5,0,50.1,1
11 08 2024,13:51:37,255,0.07,0.56,10.6,0,50.2,1
11 08 2024,13:51:41,257,0.07,0.57,10.6,0,50.1,1
11 08 2024,13:51:44,257.3,0.07,0.56,10.6,0,50.1,1
11 08 2024,13:51:48,253,0.07,0.56,10.5,0,50.1,1
11 08 2024,13:51:52,251.5,0.07,0.56,10.5,0,50.1,1
11 08 2024,13:51:56,251.5,0.07,0.56,10.5,0,50.1,1
11 08 2024,13:51:59,257.1,0.07,0.56,10.6,0,50.1,1
11 08 2024,13:52:03,257.3,0.07,0.56,10.5,0,50.1,1
11 08 2024,13:52:07,257.5,0.07,0.56,10.6,0,50.1,1
11 08 2024,13:52:12,0,0,0,0,0,0,0
11 08 2024,13:52:16,0,0,0,0,0,0,0
11 08 2024,13:52:21,0,0,0,0,0,0,0
11 08 2024,13:52:25,0,0,0,0,0,0,0
11 08 2024,13:52:31,251.8,0.07,0.56,10.5,0,50.1,1
11 08 2024,13:52:35,253.1,0.07,0.57,10.6,0,50.1,1
11 08 2024,13:52:39,257.5,0.07,0.56,10.6,0,50.1,1
11 08 2024,13:52:43,257.6,0.07,0.56,10.6,0,50.1,1
11 08 2024,13:52:47,257.7,0.07,0.56,10.6,0,50.1,1
11 08 2024,13:52:51,252.2,0.07,0.56,10.5,0,50.1,1
11 08 2024,13:52:55,252.3,0.07,0.56,10.5,0,50.1,1
11 08 2024,13:52:59,255.3,0.07,0.56,10.6,0,50.2,1
11 08 2024,13:53:03,257.5,0.07,0.56,10.6,0,50.1,1
11 08 2024,13:53:07,257.5,0.07,0.56,10.6,0,50.2,1
11 08 2024,13:53:12,253.3,0.07,0.56,10.5,0,50.1,1
11 08 2024,13:53:15,253.4,0.07,0.56,10.5,0,50.1,1
11 08 2024,13:53:19,257.5,0.07,0.56,10.6,0,50.1,1
11 08 2024,13:53:23,256.4,0.07,0.56,10.6,0,50.1,1
11 08 2024,13:53:26,256.4,0.07,0.57,10.6,0,50.1,1
11 08 2024,13:53:31,0,0,0,0,0,0,0
11 08 2024,13:53:35,0,0,0,0,0,0,0
11 08 2024,13:53:40,0,0,0,0,0,0,0
11 08 2024,13:53:45,0,0,0,0,0,0,0
11 08 2024,13:53:50,255.9,0.07,0.56,10.6,0,50.1,1
11 08 2024,13:53:54,253,0.08,0.56,10.6,0,50.1,1
11 08 2024,13:53:58,253.2,0.08,0.56,10.6,0,50.1,1
11 08 2024,13:54:02,257.3,0.07,0.56,10.6,0,50.1,1
11 08 2024,13:54:07,257.5,0.07,0.56,10.7,0,50.1,1
11 08 2024,13:54:11,253.1,0.07,0.57,10.6,0,50.1,1
11 08 2024,13:54:15,253.3,0.07,0.57,10.6,0,50.1,1
11 08 2024,13:54:18,255.8,0.07,0.56,10.6,0,50.1,1
11 08 2024,13:54:22,257.6,0.07,0.56,10.6,0,50.1,1
11 08 2024,13:54:26,256.4,0.07,0.56,10.6,0,50.1,1
11 08 2024,13:54:30,252.2,0.07,0.57,10.6,0,50.1,1
11 08 2024,13:54:34,252.3,0.07,0.57,10.6,0,50.1,1
11 08 2024,13:54:39,252.1,0.07,0.56,10.5,0,50.1,1
11 08 2024,13:54:43,257.2,0.07,0.56,10.6,0,50.1,1
11 08 2024,13:54:46,257.2,0.07,0.56,10.6,0,50.1,1
11 08 2024,13:54:51,0,0,0,0,0,0,0
11 08 2024,13:54:55,0,0,0,0,0,0,0
11 08 2024,13:54:59,0,0,0,0,0,0,0
11 08 2024,13:55:03,0,0,0,0,0,0,0
11 08 2024,13:55:07,256.1,0.07,0.56,10.6,0,50.1,1
11 08 2024,13:55:11,251.6,0.08,0.56,10.6,0,50.1,1
11 08 2024,13:55:15,252.7,0.07,0.57,10.6,0,50.1,1
11 08 2024,13:55:19,254.4,0.07,0.56,10.6,0,50.1,1
11 08 2024,13:55:23,256.8,0.07,0.56,10.6,0,50.1,1
11 08 2024,13:55:26,256.2,0.07,0.56,10.6,0,50.1,1
11 08 2024,13:55:30,253.1,0.07,0.57,10.6,0,50.1,1
11 08 2024,13:55:34,251.9,0.07,0.56,10.5,0,50.1,1
11 08 2024,13:55:38,251.9,0.07,0.56,10.5,0,50.1,1
11 08 2024,13:55:41,256.3,0.07,0.56,10.6,0,50.1,1
11 08 2024,13:55:45,256.1,0.07,0.56,10.6,0,50.1,1
11 08 2024,13:55:49,253,0.07,0.56,10.5,0,50.2,1
11 08 2024,13:55:55,252.9,0.07,0.57,10.6,0,50.2,1
11 08 2024,13:55:59,256,0.07,0.56,10.6,0,50.1,1
11 08 2024,13:56:03,257.6,0.07,0.56,10.6,0,50.1,1
11 08 2024,13:56:07,257.1,0.07,0.56,10.6,0,50.1,1
11 08 2024,13:56:11,0,0,0,0,0,0,0
11 08 2024,13:56:16,0,0,0,0,0,0,0
11 08 2024,13:56:20,0,0,0,0,0,0,0
11 08 2024,13:56:25,0,0,0,0,0,0,0
11 08 2024,13:56:28,252.5,0.07,0.58,10.6,0,50.1,1
11 08 2024,13:56:32,252.6,0.07,0.57,10.6,0,50.2,1
11 08 2024,13:56:36,252.9,0.07,0.57,10.6,0,50.2,1
11 08 2024,13:56:40,256.5,0.07,0.56,10.6,0,50.1,1
11 08 2024,13:56:44,255.8,0.07,0.56,10.6,0,50.2,1
11 08 2024,13:56:48,255,0.07,0.56,10.6,0,50.2,1
11 08 2024,13:56:52,251.5,0.07,0.57,10.6,0,50.2,1
11 08 2024,13:56:55,252.7,0.07,0.56,10.5,0,50.2,1
11 08 2024,13:56:59,256.9,0.07,0.56,10.6,0,50.2,1
11 08 2024,13:57:03,257.3,0.07,0.56,10.6,0,50.2,1
11 08 2024,13:57:07,257.7,0.07,0.56,10.6,0,50.2,1
11 08 2024,13:57:10,253.4,0.07,0.57,10.6,0,50.2,1
11 08 2024,13:57:14,252.1,0.07,0.56,10.5,0,50.2,1
11 08 2024,13:57:18,256.3,0.07,0.57,10.6,0,50.2,1
11 08 2024,13:57:22,256.7,0.07,0.57,10.6,0,50.2,1
11 08 2024,13:57:26,257.5,0.07,0.56,10.6,0,50.2,1
11 08 2024,13:57:30,0,0,0,0,0,0,0
11 08 2024,13:57:34,0,0,0,0,0,0,0
11 08 2024,13:57:39,0,0,0,0,0,0,0
11 08 2024,13:57:43,0,0,0,0,0,0,0
11 08 2024,13:57:47,256.2,0.07,0.57,10.6,0,50.2,1
11 08 2024,13:57:52,252.2,0.07,0.58,10.6,0,50.2,1
11 08 2024,13:57:56,253.4,0.07,0.57,10.6,0,50.2,1
11 08 2024,13:57:59,257.3,0.07,0.56,10.6,0,50.2,1
11 08 2024,13:58:03,257.3,0.07,0.56,10.6,0,50.2,1
11 08 2024,13:58:07,256.6,0.07,0.57,10.6,0,50.2,1
11 08 2024,13:58:10,253.6,0.07,0.57,10.6,0,50.2,1
11 08 2024,13:58:14,252.1,0.07,0.57,10.5,0,50.2,1
11 08 2024,13:58:18,254.9,0.07,0.57,10.6,0,50.2,1
11 08 2024,13:58:22,256.4,0.07,0.57,10.6,0,50.2,1
11 08 2024,13:58:26,256.5,0.07,0.57,10.6,0,50.2,1
11 08 2024,13:58:30,253,0.07,0.57,10.5,0,50.2,1
11 08 2024,13:58:34,252.7,0.07,0.57,10.5,0.01,50.2,1
11 08 2024,13:58:37,257.1,0.07,0.56,10.6,0.01,50.2,1
11 08 2024,13:58:41,257.5,0.07,0.56,10.6,0.01,50.2,1
